번호,소관부처,사업수행기관,지원분야,공고명,신청시작일자,신청종료일자,등록일자,공고상세URL
1,광주광역시,직접수행,기타,[광주] 2026년 상반기 지역서점 인증 신청 접수 공고,2026-02-02,2026-02-12,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118215
2,조달청,한국조달연구원,기술,2026년 공공혁신수요기반 혁신제품 기술개발 사업 Scale-up형 신규지원 대상과제 공고,2026-02-09,2026-03-03,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118214
3,경기도,경기대진테크노파크,기술,[경기] 2026년 가구디자인창작공간운영사업 경기가구창작스튜디오 공동장비 활용 지원 참여기업 모집 공고,2026-02-03,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118213
4,강원특별자치도,중소기업중앙회강원지역본부,내수,[강원] 2026년 우수 중소기업제품 홈쇼핑 입점지원 사업 신청 공고,2026-02-03,2026-02-26,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118212
5,산업통상부,한국산업기술진흥원,기술,2026년 중견중소기업상생형혁신도약사업 신규지원 공고,2026-02-03,2026-03-04,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118211
6,해양수산부,한국수산무역협회,금융,2026년 리스크안전망 구축 지원업체 모집 공고,2026-02-04,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118210
7,중소벤처기업부,중소기업기술정보진흥원,인력,2026년 중소기업 연구인력지원사업 공고,2026-02-04,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
8,대구광역시,지능형자동차부품진흥원,경영,[대구] 2026년 미래차 전환 종합지원센터 기업지원 사업 수혜기업 모집 공고,2026-02-09,2026-03-03,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118208
9,인천광역시,직접수행,금융,[인천] 2026년 농어촌진흥기금 융자지원 사업계획 공고,2026-02-10,2026-09-30,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118207
10,산업통상부,전남대학교 산학협력단,기술,2026년 산업혁신기반구축사업 바이오인터페이싱 인체이식형 생체흡수성 의료기기 실증기반구축 수혜기업 모집 공고,2026-02-04,2026-02-28,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118206
11,광주광역시,직접수행,기타,[광주] 2026년 예비사회적기업 지정계획 공고 ,2026-02-02,2026-02-19,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118205
12,중소벤처기업부,한국여성경제인협회,경영,2026년 여성기업 육성사업 공고,2026-02-04,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118204
13,광주광역시,직접수행,금융,[광주] 2026년 식품진흥기금 융자지원계획 공고,2026-02-02,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118203
14,제주특별자치도,직접수행,경영,[제주] 2026년 수산물 산지가공시설사업 지원 계획 공고,2026-01-29,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118202
15,제주특별자치도,직접수행,인력,[제주] 2026년 1차 (예비)사회적기업 일자리창출사업 참여기업 모집 공고,2026-02-02,2026-02-13,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118201
16,제주특별자치도,직접수행,경영,[제주] 2026년 전복 및 해삼 사료 구입 지원사업 공고,2026-01-30,2026-02-13,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118200
17,전북특별자치도,전북특별자치도수산기술연구소,경영,[전북] 2026년 수산업경영인 선발 및 지원사업 희망자 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118199
18,전북특별자치도,전북지식재산센터,수출,[전북] 2026년 1차 지식재산 긴급지원사업 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118198
19,울산광역시,울산창조경제혁신센터,경영,2026년 1차 포텐셜 씨드(Potential Seed) 경작형 프로그램 참여기업 모집 공고,2026-02-03,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118197
20,산업통상부,대한무역투자진흥공사,수출,국내기업 글로벌 성장자본 유치지원 Invest KOREA Market Place(IKMP) 참가기업 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118196
21,경상북도,경북지식재산센터,수출,[경북] 2026년 글로벌 IP 스타기업 육성 사업 모집 공고,2026-01-12,2026-02-19,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118195
22,산업통상부,대한무역투자진흥공사,수출,2026년 일본 도쿄 유통망 입점지원 사업(LINE GIFT) 참가기업 모집 공고,2026-02-03,2026-02-24,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118194
23,전북특별자치도,직접수행,내수,[전북] 2026년 친환경 유기농 박람회 참가 지원사업 대상자 모집 공고,2026-02-02,2026-02-19,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118193
24,제주특별자치도,직접수행,경영,[제주] 2026년 어류종자 생산 등 초기먹이생물 지원사업 사업대상자 모집 공고,2026-01-30,2026-02-13,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118192
25,인천광역시,직접수행,금융,[인천] 2026년 식품진흥기금 융자사업 공고,2026-02-02,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118191
26,경상남도,한국농어촌공사,경영,[경남] 밀양시 청년농업인 분양 스마트농업단지 조성사업 시행 공고,2026-02-02,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118190
27,전라남도,한국무역협회광주전남지역본부,수출,[전남] 2026년 해외박람회 개별 참가 지원사업 모집 공고 ,2026-01-30,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118189
28,충청북도,중소기업중앙회충북지역본부,내수,[충북] 2026년 중소기업 TV홈쇼핑 지원 사업 신청 공고,2026-02-02,2026-02-25,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118188
29,전라남도,전라남도해양수산과학원,경영,[전남] 2026년 수산업경영인 선발 및 지원사업 사업자 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118186
30,충청남도,충청남도수산자원연구소,금융,[충남] 2026년 수산업경영인 선발 및 지원사업 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118185
31,충청남도,직접수행,경영,[충남] 2027년 전통시장 주차환경개선사업 모집 공고,2026-02-02,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118184
32,부산광역시,부산광역시수산자원연구소,경영,[부산] 2026년 수산업경영인 선발 및 지원사업 시행계획 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118183
33,경기도,경기신용보증재단,금융,[경기] 2026년 사회적경제조직 특례보증 및 이차보전 지원 사업 공고,2026-02-02,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118182
34,경상북도,경상북도문화관광공사,경영,[경북] 2026년 관광서비스 시설환경개선사업 모집 공고,2026-02-13,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118181
35,울산광역시,울산테크노파크,내수,[울산] 첨단이차전지 특화단지 전주기 생태계 구축 사업 전시회 공동홍보관 참여기업 모집 공고,2026-02-03,2026-02-19,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118180
36,경기도,경기도해양수산자원연구소,경영,[경기] 2026년 수산업경영인 육성사업 신청자 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118179
37,경상남도,직접수행,기술,[경남] 2026년 기업 주도 일자리 창출 패키지 지원사업 참여기업 모집 공고,2026-01-30,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118178
38,중소벤처기업부,공영홈쇼핑,내수,[제주] 2026년 지역 혁신기관 협력 지역 특화제품 판로지원 사업 참여기업 모집 공고(공영홈쇼핑),2026-02-04,2026-03-04,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118177
39,과학기술정보통신부,한국산업기술진흥협회,기술,2026년 기업공감원스톱지원센터 후속 기업 지원사업 공고,2026-02-02,2026-03-03,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118176
40,경상남도,경상남도수산안전기술원,금융,[경남] 2026년 수산업경영인 신청자 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118175
41,중소벤처기업부,중소벤처기업진흥공단,경영,2026년 지역 주도형 AI 대전환 사업 공고,2026-02-04,2026-03-10,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118174
42,경상남도,직접수행,경영,2026년 경남 관광객 유치 인센티브 지원계획 공고,2026-02-02,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118173
43,행정안전부,한국산업기술기획평가원,기타,2026년 행정안전부 재난안전 혁신제품 지정기간 연장 신청 공고,2026-02-22,2026-02-28,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118172
44,중소벤처기업부,중소벤처기업진흥공단,창업,2026년 창업성공패키지(청년창업사관학교 글로벌 심화과정) 지원사업 글로벌 5G 프로그램 운영사 모집 공고,2026-02-03,2026-02-12,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118171
45,중소벤처기업부,중소벤처기업진흥공단,창업,2026년 창업성공패키지(청년창업사관학교 딥테크 심화과정) 지원사업 딥테크 5D 프로그램 운영사 모집 공고,2026-02-03,2026-02-12,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118170
46,서울특별시,국가녹색기술연구소,창업,[서울] 2026년 기후테크 창업 경연대회 참가자 모집 공고,2026-02-03,2026-03-03,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118169
47,해양수산부,해양수산과학기술진흥원,창업,2026년 해양수산 창업ㆍ투자 지원사업 지원 대상 통합 모집 공고,2026-01-30,2026-03-31,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118168
48,세종특별자치시,직접수행,경영,[세종] 2026년 상반기 디자인 지원사업 참여기업 모집공고,2026-02-04,2026-02-23,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118167
49,해양수산부,해양수산과학기술진흥원,창업,2026년 민간투자기반 유망기업 사업화 지원사업 지원 대상 모집 공고,2026-01-30,2026-03-05,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118163
50,국세청,직접수행,경영,2026년 원산지검증 대응 지원사업 공고,2026-02-09,2026-02-20,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118162
51,과학기술정보통신부,정보통신산업진흥원,경영,2026년 SW고성장클럽 지원기업 모집 공고,2026-01-23,2026-02-23,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118161
52,산업통상부,대한무역투자진흥공사,수출,2026년 미국 라스베가스 보석 전시회 (THE JCK LAS VEGAS SHOW) 한국관 참가기업 모집 공고,2026-02-02,2026-02-20,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118160
53,강원특별자치도,강원테크노파크,경영,2026년 강원특별자치도 첨단바이오 오픈이노베이션 프로그램 바이오신약 분야 (셀트리온) 지원 기업 모집 공고,2026-02-02,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118159
54,산업통상부,대한무역투자진흥공사,수출,2026년 베트남 호치민 국제 베이비ㆍ키즈 전시회(VIETBABY) 한국관 참가기업 모집 공고,2026-02-02,2026-03-04,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118158
55,경상남도,창원산업진흥원,경영,[경남] 창원시 중소기업 탄소중립 전환 지원 컨설팅 지원기업 모집 공고,2026-02-03,2026-02-25,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118157
56,경상남도,경남테크노파크,수출,[경남] 2026년 1차 중소기업 해외지사화 지원사업 참여업체 모집 공고,2026-01-29,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118153
57,대구광역시,대구경북디자인진흥원,경영,[대구] 2026년 쉬메릭(CHIMERIC) 신규 제품군 모집 공고,2026-02-11,2026-02-13,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118151
58,중소벤처기업부,중소벤처기업진흥공단,기술,2026년 탄소중립 사업화 지원사업 추진계획 공고,2026-02-09,2026-02-25,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118150
59,경상북도,대구경북디자인진흥원,창업,2026년 구미 청년예술 창업특구 조성사업 예술분야 신규 창업자 모집 공고,2026-02-20,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118149
60,경상북도,경북창조경제혁신센터,경영,[경북] 2026년 소셜벤처 활성화 사업 참여기업 모집 공고,2026-02-02,2026-03-03,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118148
61,경기도,기초자치단체,수출,[경기] 화성시 2026년 일본 도쿄 식품ㆍ음료 박람회(FOODEX JAPAN 2026) 참관단 지원사업 참가기업 모집 공고,2026-01-26,2026-02-09,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118147
62,경상북도,경북IT융합산업기술원,내수,2026년 경북 K-뷰티산업 국내외 마케팅 지원사업 통합 공고,2026-01-29,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118146
63,울산광역시,울산테크노파크,기술,[울산] 2026년 스마트공장구축지원사업 참여기업 모집공고 계획 공고,2026-02-02,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118145
64,대구광역시,대구테크노파크,기술,2026년 바이오나노산업개방형 생태계조성사업 바이오활성제제 글로벌 경쟁력 강화 사업 수혜기업 모집 공고,2026-01-26,2026-02-13,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118142
65,대구광역시,대구테크노파크,기술,2026년 대구 창업기업 스케일업 지원사업 R&D 신규지원 시행계획 공고,2026-02-23,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118139
66,경기도,시흥산업진흥원,경영,[경기] 시흥시 2026년 AIㆍDX 기반 기업 역량 강화 지원 참여기업 모집 공고,2026-01-21,2026-12-31,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118138
67,경상북도,경북IT융합산업기술원,기술,[경북] 경산시 2026년 지역기업 지원사업 수혜기업 모집 공고,2026-01-27,2026-02-09,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118137
68,경상북도,경북IT융합산업기술원,기술,2026년 경북 화장품산업 경쟁력 강화사업 통합공고,2026-01-29,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118136
69,인천광역시,인천신용보증재단,금융,[인천] 2026년 상반기 소상공인시장진흥자금 융자 계획 공고,2026-02-04,2026-06-30,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118135
70,광주광역시,광주경제진흥상생일자리재단,금융,[광주] 2026년 중소유통업구조개선자금 지원계획 공고,2026-02-02,2026-12-31,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118134
71,경상북도,경북IT융합산업기술원,기술,[경북] 2026년 화장품산업 경쟁력 강화사업(성분 분석ㆍ검증 시험인증) 모집공고,2026-01-29,2026-10-30,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118133
72,보건복지부,한국산업기술시험원,기술,2026년 스마트 전자약 사업화 종합지원센터 인허가 지원 공고,2026-02-02,2026-02-13,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118132
73,광주광역시,광주경제진흥상생일자리재단,금융,[광주] 2026년 상반기 일반경영안정자금 지원 공고,2026-01-29,2026-12-31,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118131
74,경상남도,경남지식재산센터,기술,[경남] 2026년 1차 지식재산 긴급지원 사업 모집 공고,2026-02-02,2026-02-27,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118130
75,광주광역시,광주경제진흥상생일자리재단,금융,[광주] 2026년 상반기 중점산업 창업 중소기업 육성 금융지원 공고,2026-01-29,2026-06-30,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118129
76,중소벤처기업부,중소기업중앙회,수출,2026년 2차 중국 상하이 국제환경보호박람회(IE expo China 2026) 한국관 참가기업 모집 공고,2026-02-02,2026-02-06,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118128
77,지식재산처,한국지식재산보호원,수출,2026년 지재권 보호 컨설팅 역량 우수 수행기관을 통한 수출 도전기업 IP위험 대응역량 강화사업  지원기업 모집 공고,2026-01-28,2026-02-10,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118124
78,중소벤처기업부,한국환경보전원,수출,2026년 2차 프랑스 파리 국제환경전시회 (STEP by Pollutec 2026) 한국관 참가기업 모집 공고,2026-02-02,2026-02-06,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118123
79,울산광역시,직접수행,경영,[울산] 2026년 이전ㆍ창업기업(기술강소기업) 특별보조금 지원사업 공고,2026-01-29,2026-12-31,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118122
80,산업통상부,한국생산기술연구원,수출,2026년 중소ㆍ중견기업 글로벌 시장 진출을 위한  K-Convergence 글로벌 시험ㆍ실증 지원 프로그램 모집 공고,2026-02-02,2026-02-20,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118121
81,문화체육관광부,한국저작권위원회,수출,2026년 제1차 K-콘텐츠 해외 저작권 등록ㆍ출원 지원 대상기업 모집 공고,2026-02-01,2026-02-28,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118120
82,산업통상부,전남대학교 산학협력단,수출,의료기기 해외 시장 진출 코칭 참여기업 모집 공고,2026-02-02,2026-02-28,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118119
83,서울특별시,한국전자정보통신산업진흥회,기술,2026년 AIㆍ스마트전자제품 개발ㆍ제조 지원 모집 공고,2026-01-30,2026-02-19,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118117
84,서울특별시,기초자치단체,금융,[서울] 광진구 2026년 상반기 중소기업육성기금 융자지원 공고,2026-02-03,2026-02-11,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118110
85,중소벤처기업부,장애인기업종합지원센터,창업,2026년 1차 장애인 창업사업화 지원사업 대상자 모집 공고,2026-02-02,2026-03-03,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118109
86,서울특별시,기초자치단체,경영,[서울] 은평구 2026년 소규모 자영업자 LED간판 설치 지원사업 공고,2026-01-19,2026-12-31,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118108
87,서울특별시,기초자치단체,금융,[서울] 강북구 2026년 1차 중소기업육성기금 융자지원 공고,2026-02-02,2026-02-13,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118107
88,서울특별시,기초자치단체,금융,[서울] 구로구 2026년 상반기 중소기업육성기금 융자지원 계획 공고,2026-01-30,2026-02-13,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118105
89,서울특별시,기초자치단체,수출,[서울] 금천구 2026년 첨단산업전시회 참가비 지원사업 공고,2026-01-19,2026-02-09,2026-02-03,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118104
90,부산광역시,기초자치단체,경영,[부산] 남구 2026년 소규모 사업장 방지시설 설치 지원사업 참여업체 신청 공고,2026-01-26,2026-02-20,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118102
91,서울특별시,기초자치단체,금융,[서울] 금천구 2026년 중소기업육성기금 융자지원 공고,2026-01-27,2026-02-27,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118101
92,서울특별시,기초자치단체,금융,[서울] 영등포구 2026년 1차 중소기업육성기금 융자지원계획 공고,2026-01-26,2026-02-11,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118100
93,성평등가족부,서울광역여성새로일하기센터,인력,[서울] 2026년 조직문화 더하기+ 컨설팅 참여 기업 모집 공고,2026-01-29,2026-12-31,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118099
94,서울특별시,기초자치단체,금융,[서울] 서초구 2026년 중소기업육성기금 융자지원 계획 공고,2026-01-20,2026-12-31,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118098
95,서울특별시,기초자치단체,수출,[서울] 영등포구 2026년 국내ㆍ외 전시회 참가기업 지원사업 공고,2026-01-26,2026-02-10,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118097
96,중소벤처기업부,장애인기업종합지원센터,창업,2026년 1차 장애인 창업점포 지원사업 지원대상자 모집 공고,2026-02-02,2026-02-26,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118096
97,중소벤처기업부,창업진흥원,경영,2026년 지역 첨단제조 스타트업 스케일업 지원사업 주관기관 모집 공고,2026-02-02,2026-02-25,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118095
98,서울특별시,기초자치단체,금융,[서울] 관악구 2026년 상반기 중소기업육성기금 융자지원 계획 공고,2026-01-19,2026-12-31,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118094
99,서울특별시,기초자치단체,금융,[서울] 서초구 2026년 시중은행 협력자금 대출이자 지원 계획 공고,2026-01-20,2026-12-31,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118093
100,중소벤처기업부,중소기업기술정보진흥원,기술,2026년 지역혁신선도기업육성(R&D) 시행계획 공고,2026-02-11,2026-03-03,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118092
101,중소벤처기업부,한국화학융합시험연구원,수출,2026년 해외규격인증획득지원사업(전략지원) 참여기업 모집 공고,2026-01-30,2026-11-30,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118090
102,중소벤처기업부,한국화학융합시험연구원,수출,2026년 1차 해외규격인증획득지원사업(일반지원) 참여기업 모집 공고,2026-01-30,2026-03-06,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118089
103,부산광역시,기초자치단체,인력,[부산] 영도구 2026년 어업활동지원 사업 신청 공고,2026-01-20,2026-12-31,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118088
104,부산광역시,기초자치단체,경영,[부산] 사하구 2026년 사물인터넷 측정기기 부착지원사업 공고,2026-01-26,2026-02-13,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118087
105,경기도,기초자치단체,금융,[경기] 하남시 2026년 소상공인 특례보증 및 보증료 지원 계획 공고,2026-01-29,2026-12-31,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118085
106,부산광역시,기초자치단체,경영,[부산] 강서구 2026년 사물인터넷 측정기기 부착지원사업 참여 신청 공고,2026-02-02,2026-02-20,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118084
107,경기도,경기신용보증재단,금융,[경기] 하남시 2026년 중소기업 특례보증 및 보증료 지원 계획 공고,2026-01-29,2026-12-31,2026-02-02,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118083
